sku,category_id
50908279,109604
51022985,88444
51031853,89560
51113371,92261
51113463,87244
51113518,88444
51113518,89440
50995992,88510
50998597,88480
50918837,92951
50926326,86788
51036859,109463
51038172,87271
51137890,88219
50854497,89440
50936556,92951
50950550,88498
51052540,107576
51053395,93139
50970877,92735
50854981,89041
50951007,87556
50955412,109595
50975238,77246
50857799,83397
50857868,83397
50857920,92951
50968950,93217
50969062,118070
51546780,87217
51475644,109607
51475886,77006
51475892,77006
51442349,93376
51442384,89020
51501891,93382
51501925,93367
51502008,89044
51502008,89422
51476015,93023
51442925,109577
51502968,92843
51503376,92360
51503445,89812
51547099,87235
51448700,92327
51448738,92510
51448746,92342
51503756,98306
51547145,93196
51547237,93196
51547237,83877
51547243,83877
51484973,91222
51460581,91213
51505299,86800
51553304,93199
51486078,88219
51486118,88219
51461468,88231
51461468,87244
51505564,87898
51512394,88141
51558529,000000
51487394,107729
51517331,107573
51518612,88108
51518629,88108
51547266,83877
51487411,107504
51488208,88546
51488329,88549
51463134,87808
51463255,87184
51520038,109568
51525160,93355
51525252,88588
51525281,88588
51488491,107810
51489568,88453
51492220,88138
51463439,87961
51463451,87517
51463497,87961
51463981,87556
51525540,88546
51525661,88495
51564677,91596
51565668,89791
51492548,92747
51493023,89560
51464801,92282
51464824,88477
51525908,88486
51547387,87349
51493547,87901
51494638,107588
51494650,107582
51465299,91440
51465308,91716
51465988,87523
51535447,87553
51556658,118578
51557012,88894
51496291,88498
51466246,92297
51535499,89023
51535508,89023
51553794,106919
51553805,106919
51553857,000000
51496398,118719
51497791,92360
51466298,92297
51542093,93373
51550935,83610
51553189,87217
51553195,87217
51500477,106237
51470782,111093
51472175,107519
51472209,107519
51542882,88141
51557110,88621
51557127,88621
51558149,106913
51501240,89041
51501257,93322
51501522,92849
51501539,92849
51472221,107747
51472238,107747
51542882,87814
51546371,88123
51546578,93196
51546601,83877
51553878,93497
51437673,88108
51437788,92924
51437788,89818
51474138,86479
51474432,109610
51474478,91222
51474501,92861
51475310,92339
51475638,109574
51419637,87964
51311862,88180
51313670,109502
51314338,92339
51314346,92537
51314352,92537
51314352,92339
51419827,76994
51419998,93322
51420001,93322
51420068,109496
51420068,109415
51314375,92339
51263872,88540
51346613,88207
51354724,89545
51420116,76994
51420638,86710
51314467,77012
51314488,000000
51317406,93026
51354747,92765
51362991,109631
51420744,118512
51420773,93226
51421038,92747
51421075,92744
51318872,107504
51267539,107519
51268475,107504
51363051,109595
51367678,88537
51423424,107504
51423539,107846
51325448,86509
51325788,88936
51269330,107783
51269508,107552
51269543,107783
51374913,91953
51377680,107810
51377697,107573
51378892,92534
51432010,93020
51432010,77009
51432062,89350
51432592,107759
51325903,109463
51326038,117974
51327066,92528
51327066,92345
51327089,86791
51269900,107783
51269952,107552
51378892,92351
51379228,92276
51432958,107729
51327158,109463
51270385,107810
51379286,89014
51379292,89014
51381363,92978
51428972,118860
51328203,91956
51332416,107783
51386006,84186
51386012,89254
51433124,107729
51433124,107504
51332635,91147
51332779,109463
51333104,91144
51394837,76994
51396948,84186
51397650,89041
51334190,88477
51279600,109595
51279675,93322
51279698,109583
51279698,109616
51397667,93322
51397673,89041
51397688,93322
51429913,87964
51280027,88684
51280661,87481
51399058,89041
51435306,107846
51435788,93109
51336147,76994
51336239,86431
51280753,87103
51280768,88114
51400630,87811
51400668,87811
51424302,92978
51424348,92978
51281798,109571
51404482,86512
51408731,91198
51410059,92924
51430300,88561
51430536,92978
51431760,91219
51261198,118860
51261281,89566
51262026,107729
51290021,88111
51410065,92924
51410111,106919
51412529,107618
51413079,74942
51413085,106919
51310926,92282
51262216,107729
51262562,107504
51291072,87190
51413534,91060
51311580,109424
51311758,93322
51311770,93322
51262619,107729
51262677,107504
51262798,107504
51299608,92849
51299720,88183
51760197,93364
51772618,89026
51772618,87556
51772626,87556
51720222,91222
51797833,91458
51798058,91458
51845909,87865
51845944,91725
51850626,93086
51723553,107846
51850661,84423
51850914,98630
51774288,77003
51724961,109382
51725015,109382
51725355,87562
51725378,87562
51809738,91434
51809928,93124
51809928,89254
51850943,98645
51852561,89344
51856107,92339
51856263,000000
51778758,109565
51781108,109571
51725418,89029
51725424,87562
51828199,92276
51861734,91710
51861763,91710
51725902,87523
51828216,88480
51833858,111057
51863058,91707
51781609,91716
51727658,88444
51727900,000000
51835188,91533
51835196,91824
51856278,93376
51856278,74945
51858284,92261
51782580,91434
51782597,91710
51782706,91710
51727969,106946
51729443,87247
51729535,106919
51862071,91431
51862088,91707
51862140,91443
51782729,91710
51783803,114012
51784301,109469
51835340,91533
51835357,91824
51835432,91824
51863260,91707
51863277,91431
51786604,91725
51786633,91725
51786648,87865
51786656,91725
51735683,88585
51835461,91533
51835478,91824
51835501,91824
51860919,00000
51860925,00000
51861348,95939
51788176,87529
51788280,87529
51742758,92384
51744891,88894
51835524,91533
51835530,91824
51835547,91533
51835576,91824
51835582,91824
51745509,109463
51749505,88465
51836039,107573
51836788,89422
51841326,88465
51861792,91710
51861968,95939
51792216,91458
51792222,92735
51792648,92735
51841326,92261
51841332,88465
51844148,87865
51861354,95939
51861383,00000
51796120,95927
51796172,00000
51749808,89344
51752938,92276
51844219,91725
51845570,87865
51797827,92735
51757109,87865
51845627,91725
51845702,91725
51862059,91707
51719432,106937
51719812,109463
51757340,92300
51845748,91725
51624250,107747
51624273,107519
51624288,107519
51695118,88936
51695124,88936
51625750,92324
51625767,92519
51583971,93322
51667210,88288
51629360,88138
51584440,92282
51586242,87115
51586432,93497
51667279,88273
51695470,88450
51695591,93217
51695660,93394
51630484,87553
51631621,92519
51631667,92534
51673726,93376
51673761,000000
51676798,89440
51695781,86713
51697018,92483
51697024,86821
51637131,88894
51637148,88894
51637851,93373
51637868,93373
51587391,88219
51594065,107813
51677549,107573
51697427,109577
51697462,118082
51638746,109424
51682258,92951
51712537,92849
51640414,87529
51640420,109565
51642850,107603
51642867,107861
51596086,74948
51602604,86482
51602648,86482
51682272,92951
51714397,88453
51714408,88453
51714408,89467
51645150,91458
51603388,88474
51603396,88474
51603459,88474
51685848,92375
51685856,92375
51685891,92375
51687756,93370
51703992,89344
51704000,93109
51704524,89044
51704524,89422
